2026-04-13 17:50:07.705 WARN  (qtp324404955-62-null-8) [ x:nomologia t:null-8] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:07.706 INFO  (qtp324404955-62-null-8) [ x:nomologia t:null-8] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=ap&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:07.915 WARN  (qtp324404955-63-null-9) [ x:nomologia t:null-9] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:07.915 INFO  (qtp324404955-63-null-9) [ x:nomologia t:null-9] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=a&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:08.121 WARN  (qtp324404955-64-null-10) [ x:nomologia t:null-10] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:08.122 INFO  (qtp324404955-64-null-10) [ x:nomologia t:null-10] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=apo&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:08.340 WARN  (qtp324404955-85-null-11) [ x:nomologia t:null-11] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:08.341 INFO  (qtp324404955-85-null-11) [ x:nomologia t:null-11] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=apof&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:08.563 WARN  (qtp324404955-86-null-12) [ x:nomologia t:null-12] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:08.564 INFO  (qtp324404955-86-null-12) [ x:nomologia t:null-12] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=ap&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:08.770 WARN  (qtp324404955-55-null-13) [ x:nomologia t:null-13] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:08.770 INFO  (qtp324404955-55-null-13) [ x:nomologia t:null-13] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=apo&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:08.983 WARN  (qtp324404955-56-null-14) [ x:nomologia t:null-14] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:08.984 INFO  (qtp324404955-56-null-14) [ x:nomologia t:null-14] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=a&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:09.207 WARN  (qtp324404955-57-null-15) [ x:nomologia t:null-15] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:09.208 INFO  (qtp324404955-57-null-15) [ x:nomologia t:null-15] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=apof&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:09.424 WARN  (qtp324404955-58-null-16) [ x:nomologia t:null-16] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:09.437 INFO  (qtp324404955-58-null-16) [ x:nomologia t:null-16] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=α&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=1 status=0 QTime=21
2026-04-13 17:50:09.673 WARN  (qtp324404955-94-null-17) [ x:nomologia t:null-17] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:09.674 INFO  (qtp324404955-94-null-17) [ x:nomologia t:null-17] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=απ&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:09.914 WARN  (qtp324404955-59-null-18) [ x:nomologia t:null-18] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:09.915 INFO  (qtp324404955-59-null-18) [ x:nomologia t:null-18] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=apo&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:10.138 WARN  (qtp324404955-60-null-19) [ x:nomologia t:null-19] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:10.138 INFO  (qtp324404955-60-null-19) [ x:nomologia t:null-19] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=απο&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:10.363 WARN  (qtp324404955-61-null-20) [ x:nomologia t:null-20] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:10.364 INFO  (qtp324404955-61-null-20) [ x:nomologia t:null-20] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=αποφ&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:10.589 WARN  (qtp324404955-62-null-21) [ x:nomologia t:null-21] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
2026-04-13 17:50:10.589 INFO  (qtp324404955-62-null-21) [ x:nomologia t:null-21] o.a.s.c.S.Request path=/select params={facet.field=dikastirio&facet.field=etos&facet.field=katigoria&hl=true&hl.fragsize=200&start=0&rows=10&hl.simple.pre=<mark>&hl.snippets=3&q=αποφασ&defType=edismax&hl.simple.post=</mark>&qf=titlos^3+arithmos^5+periexomeno&hl.fl=periexomeno&facet=true&wt=json} hits=0 status=0 QTime=1
2026-04-13 17:50:10.818 WARN  (qtp324404955-63-null-22) [ x:nomologia t:null-22] o.a.s.r.SimpleFacets Raising facet.mincount from 0 to 1, because field etos is Points-based.
